nm,catégorie,nf,epicene,proper_noun,m_suffix,f_suffix
Aalandais,Nm,Aalandaise,0,1,True,True
Aaronais,Nm,Aaronaise,0,1,True,True
Abainvillois,Nm,Abainvilloise,0,1,True,True
abandonnataire,Nm,abandonnataire,1,0,True,True
abandonnateur,Nm,abandonnatrice,0,0,True,True
abandonneur,Nm,abandonneuse,0,0,True,True
abatteur,Nm,abatteuse,0,0,True,True
abbé,Nm,abbesse,0,0,False,True
Abbécourtois,Nm,Abbécourtoise,0,1,True,True
abbevillien,Nm,abbevillienne,0,0,True,True
abbevillois,Nm,abbevilloise,0,0,True,True
abdéritain,Nm,abdéritaine,0,0,True,True
Abeilhanais,Nm,Abeilhanaise,0,1,True,True
abéliste,Nm,abéliste,1,0,True,True
Aberdonien,Nm,Aberdonienne,0,1,True,True
Abergementais,Nm,Abergementaise,0,1,True,True
Abergementier,Nm,Abergementière,0,1,True,True
Abergeur,Nm,Abergeuse,0,1,True,True
Abidjanais,Nm,Abidjanaise,0,1,True,True
Abitibien,Nm,Abitibienne,0,1,True,True
Abjacois,Nm,Abjacoise,0,1,True,True
Ablainois,Nm,Ablainoise,0,1,True,True
Ableigeois,Nm,Ableigeoise,0,1,True,True
Ablisien,Nm,Ablisienne,0,1,True,True
Ablonais,Nm,Ablonaise,0,1,True,True
Ablonnais,Nm,Ablonnaise,0,1,True,True
Ablutien,Nm,Ablutienne,0,1,True,True
abolitioniste,Nm,abolitioniste,1,0,True,True
abolitionniste,Nm,abolitionniste,1,0,True,True
Aboncourtois,Nm,Aboncourtoise,0,1,True,True
Abondancien,Nm,Abondancienne,0,1,True,True
Abondancier,Nm,Abondancière,0,1,True,True
Abondantais,Nm,Abondantaise,0,1,True,True
Abosien,Nm,Abosienne,0,1,True,True
Aboudhabien,Nm,Aboudhabienne,0,1,True,True
aboyeur,Nm,aboyeuse,0,0,True,True
Abraysien,Nm,Abraysienne,0,1,True,True
Abreschvillois,Nm,Abreschvilloise,0,1,True,True
Abrésien,Nm,Abrésienne,0,1,True,True
Abrestois,Nm,Abrestoise,0,1,True,True
abréviateur,Nm,abréviatrice,0,0,True,True
Abrienais,Nm,Abrienaise,0,1,True,True
