nm	nf	epicene	proper_noun	catégorie
abandonnataire	abandonnataire	1.0	0.0	Nm
abandonnateur	abandonnatrice	0.0	0.0	Nm
abandonneur	abandonneuse	0.0	0.0	Nm
abatteur	abatteuse	0.0	0.0	Nm
abbé	abbesse	0.0	0.0	Nm
Abénaquis	Abénaquise	0.0	1.0	Nm
abolitionniste	abolitionniste	1.0	0.0	Nm
abonné	abonnée	0.0	0.0	Nm
aboyeur	aboyeuse	0.0	0.0	Nm
abréviateur	abréviatrice	0.0	0.0	Nm
abruti	abrutie	0.0	0.0	Nm
absent	absente	0.0	0.0	Nm
absolutiste	absolutiste	1.0	0.0	Nm
abstème	abstème	1.0	0.0	Nm
abstentionniste	abstentionniste	1.0	0.0	Nm
abstinent	abstinente	0.0	0.0	Nm
abuseur	abuseuse	0.0	0.0	Nm
académicien	académicienne	0.0	0.0	Nm
académiste	académiste	1.0	0.0	Nm
acathisique	acathisique	1.0	0.0	Nm
accapareur	accapareuse	0.0	0.0	Nm
accepteur	accepteuse	0.0	0.0	Nm
accessoiriste	accessoiriste	1.0	0.0	Nm
accidenté	accidentée	0.0	0.0	Nm
accisien	accisienne	0.0	0.0	Nm
acclamateur	acclamatrice	0.0	0.0	Nm
accommodeur	accommodeuse	0.0	0.0	Nm
accompagnant	accompagnante	0.0	0.0	Nm
accompagnateur	accompagnatrice	0.0	0.0	Nm
acconier	acconière	0.0	0.0	Nm
accordé	accordée	0.0	0.0	Nm
accordéoneux	accordéoneuse	0.0	0.0	Nm
accordéoniste	accordéoniste	1.0	0.0	Nm
accoucheur	accoucheuse	0.0	0.0	Nm
accouveur	accouveuse	0.0	0.0	Nm
accréditeur	accréditrice	0.0	0.0	Nm
accro	accro	1.0	0.0	Nm
accumulateur	accumulatrice	0.0	0.0	Nm
accusateur	accusatrice	0.0	0.0	Nm
accusé	accusée	0.0	0.0	Nm
acéphale	acéphale	1.0	0.0	Nm
acériculteur	acéricultrice	0.0	0.0	Nm
achalant	achalante	0.0	0.0	Nm
acheteur	acheteuse	0.0	0.0	Nm
acheveur	acheveuse	0.0	0.0	Nm
achromate	achromate	1.0	0.0	Nm
acnéique	acnéique	1.0	0.0	Nm
acolyte	acolyte	1.0	0.0	Nm
acousticien	acousticienne	0.0	0.0	Nm
acoustophobe	acoustophobe	1.0	0.0	Nm
acquéreur	acquéreuse	0.0	0.0	Nm
acribologue	acribologue	1.0	0.0	Nm
acrobate	acrobate	1.0	0.0	Nm
acrocéphalique	acrocéphalique	1.0	0.0	Nm
acromégale	acromégale	1.0	0.0	Nm
acrophile	acrophile	1.0	0.0	Nm
acrotomophile	acrotomophile	1.0	0.0	Nm
acteur	actrice	0.0	0.0	Nm
actif	active	0.0	0.0	Nm
actionnaire	actionnaire	1.0	0.0	Nm
actionnaliste	actionnaliste	1.0	0.0	Nm
actuaire	actuaire	1.0	0.0	Nm
acupuncteur	acupuncteure	0.0	0.0	Nm
adamien	adamienne	0.0	0.0	Nm
adaptateur	adaptatrice	0.0	0.0	Nm
addict	addicte	0.0	0.0	Nm
addictologue	addictologue	1.0	0.0	Nm
adhérent	adhérente	0.0	0.0	Nm
adjoint	adjointe	0.0	0.0	Nm
adjudicateur	adjudicatrice	0.0	0.0	Nm
adjuteur	adjutrice	0.0	0.0	Nm
administrateur	administratrice	0.0	0.0	Nm
administré	administrée	0.0	0.0	Nm
admirateur	admiratrice	0.0	0.0	Nm
admoniteur	admonitrice	0.0	0.0	Nm
adolescent	adolescente	0.0	0.0	Nm
adoptant	adoptante	0.0	0.0	Nm
adopté	adoptée	0.0	0.0	Nm
adorateur	adoratrice|adorateuse	0.0	0.0	Nm
adulateur	adulatrice	0.0	0.0	Nm
adulescent	adulescente	0.0	0.0	Nm
adulte	adulte	1.0	0.0	Nm
adultérateur	adultératrice	0.0	0.0	Nm
adultère	adultère	1.0	0.0	Nm
adultérin	adultérine	0.0	0.0	Nm
adversaire	adversaire	1.0	0.0	Nm
aérodromphobe	aérodromphobe	1.0	0.0	Nm
aérodynamicien	aérodynamicienne	0.0	0.0	Nm
aéromancien	aéromancienne	0.0	0.0	Nm
aéromodéliste	aéromodéliste	1.0	0.0	Nm
aéronaute	aéronaute	1.0	0.0	Nm
aérophilatéliste	aérophilatéliste	1.0	0.0	Nm
aérophile	aérophile	1.0	0.0	Nm
aérostier	aérostière	0.0	0.0	Nm
affabulateur	affabulatrice	0.0	0.0	Nm
affairé	affairée	0.0	0.0	Nm
affairiste	affairiste	1.0	0.0	Nm
affaiteur	affaiteuse	0.0	0.0	Nm
affamé	affamée	0.0	0.0	Nm
affameur	affameuse	0.0	0.0	Nm
affermataire	affermataire	1.0	0.0	Nm
afficheur	afficheuse	0.0	0.0	Nm
affichiste	affichiste	1.0	0.0	Nm
affidé	affidée	0.0	0.0	Nm
affilié	affiliée	0.0	0.0	Nm
affineur	affineuse	0.0	0.0	Nm
affirmateur	affirmatrice	0.0	0.0	Nm
affligé	affligée	0.0	0.0	Nm
affouager	affouagère	0.0	0.0	Nm
affouagiste	affouagiste	1.0	0.0	Nm
affranchi	affranchie	0.0	0.0	Nm
affranchisseur	affranchisseuse	0.0	0.0	Nm
affréteur	affréteuse	0.0	0.0	Nm
affreux	affreuse	0.0	0.0	Nm
affronteur	affronteuse	0.0	0.0	Nm
africaniste	africaniste	1.0	0.0	Nm
afrikander	afrikander	1.0	0.0	Nm
afrophone	afrophone	1.0	0.0	Nm
agaceur	agaceuse	0.0	0.0	Nm
agelaste	agelaste	1.0	0.0	Nm
agenceur	agenceuse	0.0	0.0	Nm
agent	agente	0.0	0.0	Nm
agioteur	agioteuse	0.0	0.0	Nm
agitateur	agitatrice	0.0	0.0	Nm
agité	agitée	0.0	0.0	Nm
agnat	agnate	0.0	0.0	Nm
agneau	agnelle	0.0	0.0	Nm
agnostique	agnostique	1.0	0.0	Nm
agomphe	agomphe	1.0	0.0	Nm
agonisant	agonisante	0.0	0.0	Nm
agoraphobe	agoraphobe	1.0	0.0	Nm
agresseur	agresseuse	0.0	0.0	Nm
agriculteur	agricultrice|agriculteuse	0.0	0.0	Nm
agrippeur	agrippeuse	0.0	0.0	Nm
agrobiologiste	agrobiologiste	1.0	0.0	Nm
agrochimiste	agrochimiste	1.0	0.0	Nm
agromane	agromane	1.0	0.0	Nm
agronome	agronome	1.0	0.0	Nm
agrumiculteur	agrumicultrice|agrumiculteuse	0.0	0.0	Nm
aguicheur	aguicheuse	0.0	0.0	Nm
ahuri	ahurie	0.0	0.0	Nm
aide	aide	1.0	0.0	Nm
aide-écuyer	aide-écuyer	1.0	0.0	Nm
aide-soignant	aide-soignante	0.0	0.0	Nm
aideur	aideuse	0.0	0.0	Nm
aïeul	aïeule	0.0	0.0	Nm
aigle	aigle	1.0	0.0	Nm
aiglon	aiglonne	0.0	0.0	Nm
aiguillier	aiguillière	0.0	0.0	Nm
ailier	ailière	0.0	0.0	Nm
ailurophile	ailurophile	1.0	0.0	Nm
aimeur	aimeuse	0.0	0.0	Nm
ainé	ainée	0.0	0.0	Nm
aîné	aînée	0.0	0.0	Nm
airsofteur	airsofteuse	0.0	0.0	Nm
alarmiste	alarmiste	1.0	0.0	Nm
albanophone	albanophone	1.0	0.0	Nm
albigeois	albigeoise	0.0	0.0	Nm
albinos	albinos	1.0	0.0	Nm
albophobe	albophobe	1.0	0.0	Nm
albuminurique	albuminurique	1.0	0.0	Nm
alcoolique	alcoolique	1.0	0.0	Nm
alfatier	alfatière	0.0	0.0	Nm
algébriste	algébriste	1.0	0.0	Nm
algérien	algérienne	0.0	0.0	Nm
algonquin	algonquine	0.0	0.0	Nm
algophile	algophile	1.0	0.0	Nm
aliénataire	aliénataire	1.0	0.0	Nm
aliénateur	aliénatrice	0.0	0.0	Nm
aliéné	aliénée	0.0	0.0	Nm
Allemand	Allemande	0.0	1.0	Nm
allemand	allemande	0.0	0.0	Nm
