id,coll_noun,member_noun_sg,member_noun_pl,coll_noun_g,coll_noun_n,src
1,académie,académicien,académiciens,f,s,Lecolle
2,achalandage,chaland,chalands,m,s,Lecolle
3,armée,soldat,soldats,f,s,Lecolle
4,milice,milicien,miliciens,f,s,Lecolle
5,artillerie,artilleur,artilleurs,f,s,Lecolle
6,ascendance,ascendant,ascendants,f,s,Lecolle
7,auditoire,auditeur,auditeurs,m,s,Lecolle
8,aviation,aviateur,aviateurs,f,s,Lecolle
9,ballet,danseur,danseurs,m,s,Lecolle
10,barreau,avocat,avocats,m,s,Lecolle
11,bataillon,soldat,soldats,m,s,Lecolle
12,bleusaille,bleu,bleus,f,s,Lecolle
13,bourgeoisie,bourgeois,bourgeois,f,s,Lecolle
14,brigade,soldat,soldats,f,s,Lecolle
15,brigade,brigadier,brigadiers,f,s,Lecolle
16,cavalerie,cavalier,cavaliers,f,s,Lecolle
17,censure,censeur,censeurs,f,s,Lecolle
18,chœur,chanteur,chanteurs,m,s,Lecolle
19,chrétienté,chrétien,chrétiens,f,s,Lecolle
20,clientèle,client,clients,f,s,Lecolle
21,collaboration,collaborateur,collaborateurs,f,s,Lecolle
22,colonie,colon,colons,f,s,Lecolle
23,compagnie,compagnon,compagnons,f,s,Lecolle
24,concurrence,concurrent,concurrents,f,s,Lecolle
25,conseil,conseiller,conseillers,m,s,Lecolle
26,conseil,conseiller d'administration,conseillers d'administration,m,s,Lecolle
27,conspiration,conspirateur,conspirateurs,f,s,Lecolle
28,cour,magistrat,magistrats,f,s,Lecolle
29,cousinage,cousin,cousins,m,s,Lecolle
30,couvent,religieux,religieux,m,s,Lecolle
31,délégation,délégué,délégués,f,s,Lecolle
32,délinquance,délinquant,délinquants,f,s,Lecolle
33,descendance,descendant,descendants,f,s,Lecolle
34,dissidence,dissident,dissidents,f,s,Lecolle
35,électorat,électeur,électeurs,m,s,Lecolle
36,équipage,équipier,équipiers,m,s,Lecolle
37,escouade,soldat,soldats,f,s,Lecolle
38,police,policier,policiers,f,s,Lecolle
39,gueusaille,gueux,gueux,f,s,Lecolle
40,humanité,humain,humains,f,s,Lecolle
41,immigration,immigré,immigrés,f,s,Lecolle
42,immigration,immigrant,immigrants,f,s,Lecolle
43,infanterie,soldat,soldats,f,s,Lecolle
44,inspection,inspecteur,inspecteurs,f,s,Lecolle
45,intelligentsia,intellectuel,intellectuels,f,s,Lecolle
46,judaïcité,juif,juifs,f,s,Lecolle
47,Islam,musulman,musulmans,m,s,Lecolle
48,jury,juré,jurés,m,s,Lecolle
49,laboratoire,laborantin,laborantins,m,s,Lecolle
50,lectorat,lecteur,lecteurs,m,s,Lecolle
51,mafia,mafieux,mafieux,f,s,Lecolle
52,magistrature,magistrat,magistrats,f,s,Lecolle
53,mandarinat,mandarin,mandarins,m,s,Lecolle
54,manifestation,manifestant,manifestants,f,s,Lecolle
55,marine,marin,marins,f,s,Lecolle
