Lexème vedette,Suppr,Ajout,Corr,Fini,Genre ou variation en genre,Patron de variation du genre,Autre patron de variation,Structure morphologique,Formation morphologique,Suffixe,Classe sémantique,Sous-classe sémantique,Définition courante,Définition juridique,Contributeur ou Contributrice
abandonnataire,,,,,E,NP,,C,Dérivation,aire,N de Bénéficiaire,,personne qui bénéficie d'un abandon/abandonnement,1845 terme jur. « celui ou celle au profit de qui est fait un abandon ou un abandonnement » ,AA
abandonneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,personne qui abandonne/fait un abandon,,AA
abbé,,,,,M,NP,,NC,NP,NP,N de Statut,,personne qui gouverne une abbaye ou un monastère,,AA
abonnataire,,,,,E,NP,,C,Dérivation,aire,N d'Agent,,personne qui souscrit un abonnement ,,AA
aboyeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,personne qui gagne sa vie en aboyant ,,AA
abreuveur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,,personne qui a l'habitude d'abreuver,,AA
abréviateur,,,,,M,NP,,C,Dérivation,eur,N de Statut,,"personne chargée de la rédaction, collation, expédition des bulles pontificales",,AA
abstinent,,,,,V,-/-e,,C,Conversion,NP,Autre,,personne qui se prive de certains biens ou plaisirs (rél.),,AA
abuseur,,,,,M,NP,,C,Dérivation,NP,N d'Agent,,personne qui abuse,,AA
académiste,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,personne qui s'accapare d'une entité considérable de choses,,AA
accepteur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,,personne qui accepte,personne qui a accepté une lettre de change (DR. Comm.),AA
accessoiriste,,,,,E,NP,,C,Dérivation,iste,Autre,N de Profession ,personne qui est responsable des accesoires,,AA
accidenté,,,,,V,Autre,-é/ée,C,Conversion,é,N de Patient/Déverbal passif,,Personne qui a subi un accident,,AA
acclamateur,,,,,V,-eur/-atrice,,C,Dérivation,eur,N d'Agent,,personne qui fait des acclamations,,AA
accomodeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,personne qui accomode,,AA
accompagnateur,,,,,V,-eur/-atrice,,C,Dérivation,eur,N d'Agent,,personne qui accompagne,,AA
accompagnateur de moyenne montagne,,,,,V,-eur/-atrice,,P,NP,NP,N d'Agent,N de Profession ,personne qui accompagne en haute montagne,,AA
