RawNoun,Count
professionnel,1251
utilisateur,1057
ami,991
habitant,977
joueur,767
client,590
consommateur,535
citoyen,469
homme,409
humain,380
auteur,347
parent,347
employé,318
patient,301
expert,269
participant,232
étudiant,213
visiteur,181
fabricant,175
amateur,174
invité,156
acteur,154
lecteur,154
conducteur,143
producteur,134
chercheur,133
enseignant,131
candidat,128
musicien,127
travailleur,125
voyageur,123
représentant,121
chef,120
assistant,120
investisseur,116
professeur,112
partenaire,108
passager,101
conseiller,99
agent,89
vendeur,85
spectateur,84
avocat,83
débutant,83
acheteur,77
recruteur,77
ingénieur,74
développeur,73
locuteur,67
juge,66
commerçant,66
chanteur,60
juré,58
agriculteur,58
particulier,57
employeur,57
adolescent,56
éditeur,55
contributeur,55
amoureux,54
fournisseur,53
passionné,53
technicien,53
créateur,52
explorateur,51
occupant,51
artisan,50
monsieur,49
dirigeant,47
pompier,46
instructeur,44
écrivain,44
pêcheur,43
administrateur,43
mineur,42
plombier,42
président,42
plongeur,42
voisin,41
allié,38
collaborateur,37
entrepreneur,36
soldat,35
résident,34
donateur,33
coureur,33
directeur,33
praticien,33
décorateur,32
chasseur,32
policier,31
gardien,31
marié,30
salarié,30
défunt,29
observateur,28
réalisateur,28
opérateur,28
entraîneur,28
maire,27
immigrant,27
hôte,27
constructeur,27
apprenant,27
historien,27
électeur,26
défenseur,26
expéditeur,25
décideur,24
passant,24
supérieur,24
organisateur,24
donneur,23
éducateur,23
interlocuteur,23
jardinier,22
serveur,22
héros,22
grutier,21
piéton,21
démineur,21
garçon,21
danseur,21
randonneur,21
chirurgien,21
serf,20
cuisinier,20
pharmacien,20
partisan,20
compositeur,19
mécanicien,19
colon,19
créancier,19
usager,19
emprunteur,19
croupier,18
prêteur,18
marin,18
électricien,18
promeneur,17
pratiquant,17
accusé,17
tuteur,17
animateur,17
compagnon,17
auditeur,16
chrétien,16
abonné,16
traducteur,16
collectionneur,16
fumeur,16
barman,15
suspect,15
tueur,15
étranger,15
physicien,15
distributeur,15
intervieweur,15
diététicien,15
baigneur,14
éleveur,14
maçon,14
caissier,14
aîné,14
gagnant,13
médiateur,13
descendant,13
officier,13
chauffeur,13
associé,12
chroniqueur,12
industriel,12
moniteur,12
père,12
concepteur,12
penseur,11
européen,11
juif,11
député,11
végétalien,11
vacancier,11
évaluateur,11
héritier,10
comédien,10
figurant,10
inconnu,10
croyant,10
concurrent,10
aventurier,10
paysan,9
végétarien,9
surfeur,9
émetteur,9
empereur,9
coiffeur,9
gaulois,9
menuisier,9
consultant,9
voyant,9
rêveur,9
gouvernant,9
vigneron,9
graveur,8
criminel,8
préfet,8
prêtre,8
champion,8
brûlé,8
attaquant,8
débiteur,8
mathématicien,8
livreur,8
supporter,8
docteur,8
sinistré,8
gourmand,8
manifestant,8
québécois,8
prisonnier,8
sportif,8
tricheur,8
