RawNoun,Count
ami,6497
homme,3589
étudiant,2665
client,2452
invité,2391
utilisateur,2159
auteur,2021
président,1988
monsieur,1667
joueur,1629
adolescent,1559
humain,1533
parent,1242
acteur,1239
candidat,1148
avocat,1041
professionnel,1035
débutant,999
habitant,953
employé,923
écrivain,918
professeur,913
chevalier,823
père,770
chef,767
citoyen,723
garçon,672
chanteur,624
assistant,622
enseignant,526
expert,525
vendeur,498
entrepreneur,497
ingénieur,480
développeur,470
juge,460
explorateur,455
patient,451
voisin,439
lecteur,438
conseiller,427
agent,422
soldat,417
amateur,413
directeur,376
héros,354
employeur,354
travailleur,349
historien,330
contributeur,321
député,320
électeur,315
éditeur,313
poète,313
maire,309
chercheur,299
musicien,295
compositeur,291
comte,276
voyageur,276
médecin,269
participant,260
serveur,256
sénateur,249
représentant,230
villageois,228
inventeur,227
partenaire,220
créateur,220
consommateur,217
enfant,208
agriculteur,206
jumeau,206
lauréat,205
mécanicien,204
visiteur,197
combattant,195
gardien,194
mineur,192
dirigeant,191
magicien,188
locuteur,182
juif,182
européen,181
empereur,180
recruteur,179
étranger,166
rédacteur,158
pompier,155
républicain,155
conducteur,153
passager,150
prêtre,146
aventurier,145
résident,145
collectionneur,142
marin,132
vice-président,132
officier,131
administrateur,131
observateur,128
tuteur,127
investisseur,124
producteur,123
colonel,122
salarié,120
colon,119
présentateur,119
cuisinier,118
boxeur,118
général,117
technicien,116
pape,115
collaborateur,114
réfugié,114
policier,112
passionné,111
spectateur,110
propriétaire,110
entraîneur,109
particulier,109
jardinier,108
chauffeur,108
chasseur,104
défenseur,104
moine,104
gouverneur,104
réalisateur,103
artiste,103
donneur,102
supérieur,102
plongeur,101
modérateur,98
héritier,98
prisonnier,97
animateur,93
magistrat,91
tueur,90
mathématicien,87
éleveur,86
coiffeur,86
électricien,84
grand-père,84
consultant,84
instructeur,83
artisan,83
opérateur,83
fabricant,82
sauveteur,82
gagnant,79
physicien,78
correspondant,78
conférencier,77
sportif,76
danseur,75
procureur,75
conjoint,75
coureur,74
traducteur,73
conservateur,73
migrant,73
pionnier,72
compagnon,72
juré,72
suspect,71
marié,71
descendant,67
défunt,67
romancier,67
croyant,67
navigateur,66
responsable,66
détenu,65
enquêteur,65
spécialiste,65
abbé,64
prêteur,64
guerrier,64
fournisseur,64
barman,64
fondateur,64
rappeur,63
amoureux,63
musulman,63
voleur,63
plombier,62
gladiateur,62
chrétien,60
gaucher,60
vainqueur,60
commerçant,59
maréchal,59
sorcier,59
éducateur,59
champion,59
cavalier,58
narrateur,58
retraité,58
condamné,56
pêcheur,56
médiateur,56
hôte,55
comédien,55
auditeur,54
usager,53
survivant,53
bourgeois,53
franchisé,53
déménageur,51
penseur,50
emprunteur,50
aidant,50
chapelier,49
programmeur,49
oncle,48
moniteur,48
inspecteur,48
abonné,48
commandant,48
interlocuteur,47
accusé,47
promeneur,46
livreur,45
apprenti,45
squatteur,44
pèlerin,44
prophète,43
paysan,43
chroniqueur,42
immigrant,42
académicien,42
papa,41
constructeur,41
occupant,40
ambassadeur,40
acheteur,40
piéton,40
orateur,39
adulte,38
vigneron,38
politicien,38
consul,37
docteur,37
ressortissant,36
végétarien,36
correcteur,36
organisateur,36
troubadour,36
saint,36
sauveur,35
courtier,35
tatoueur,34
concepteur,34
aviateur,34
duc,34
ambulancier,33
préfet,33
ministre,33
messager,33
pauvre,33
noir,33
informaticien,33
caissier,32
criminel,32
préparateur,32
inconnu,32
lycéen,32
partisan,32
décorateur,31
époux,31
végétalien,31
coéquipier,31
militant,30
instituteur,30
conteur,30
berger,29
contrôleur,29
intimidateur,29
maquilleur,29
débiteur,29
copain,29
serf,29
dermatologue,29
sculpteur,28
apôtre,28
décideur,28
porteur,28
pratiquant,28
votant,28
théologien,28
basketteur,28
photographe,27
allié,27
bricoleur,27
dessinateur,27
wikipédien,26
cascadeur,26
demi-frère,25
toiletteur,25
conquérant,25
grutier,25
lanceur,25
créancier,25
collègue,25
amant,24
passant,24
peintre,24
démineur,24
collégien,23
baron,23
aumônier,23
prostitué,23
chirurgien,23
randonneur,22
ennemi,22
cordonnier,22
petit-fils,22
plaisancier,22
pharmacien,22
civil,22
intellectuel,22
québécois,21
astronaute,21
évêque,21
concurrent,21
patron,21
huissier,21
nazi,20
manifestant,20
gendarme,20
coach,19
distributeur,19
capitaine,19
prospecteur,19
bibliothécaire,19
savant,19
frappeur,19
nutritionniste,19
architecte,19
ancien,19
érudit,19
éboueur,19
élève,18
religieux,18
lord,18
vieillard,18
négociateur,18
guide,18
sujet,18
nageur,17
philosophe,17
doctorant,17
athlète,17
aîné,17
intervieweur,17
neurologue,17
esquimau,16
commissaire,16
journaliste,16
attaquant,16
expatrié,16
destinataire,16
prétendant,16
psychiatre,16
téléspectateur,16
orphelin,15
ramoneur,15
pasteur,15
lieutenant,15
tricheur,15
youtubeur,15
industriel,15
demandeur,15
goûteur,15
footballeur,15
tailleur,15
superviseur,15
maçon,15
ergothérapeute,15
gaulois,14
rêveur,14
dormeur,14
protecteur,14
cueilleur,14
diététicien,14
chéri,14
viticulteur,14
châtelain,13
voyant,13
commentateur,13
gestionnaire,13
brigadier,13
innovateur,13
nain,13
charpentier,13
préadolescent,13
forgeron,13
locataire,13
délégué,13
supporter,13
bijoutier,13
chancelier,13
délinquant,12
vagabond,12
contemporain,12
boucher,12
illustrateur,12
bourreau,12
testeur,12
formateur,12
commis,12
expéditeur,12
législateur,12
sinistré,12
scientifique,12
gastro-entérologue,12
rabbin,12
détenteur,12
plaignant,12
souverain,11
canalisateur,11
buteur,11
monteur,11
beau-frère,11
apprenant,11
poseur,11
astrophysicien,11
meurtrier,11
sélectionneur,11
écuyer,11
manager,11
jeune,10
répondant,10
successeur,10
banquier,10
graveur,10
surveillant,10
metteur,10
déposant,10
parolier,10
lutteur,10
adversaire,10
vacancier,10
dictateur,10
proche,10
beau-père,10
portier,9
donateur,9
naturaliste,9
empaleur,9
accompagnateur,9
signeur,9
communicateur,9
receveur,9
immigré,9
terrien,9
limonadier,9
espion,8
contribuable,8
logicien,8
perdant,8
fonctionnaire,8
juriste,8
expérimentateur,8
vétéran,8
caucasien,8
praticien,8
gars,7
serviteur,7
agresseur,7
afro-américain,7
mangeur,7
cycliste,7
clinicien,7
théoricien,7
baigneur,7
restaurateur,7
intéressé,7
laïc,7
meneur,7
bagnard,7
remplaçant,7
co-fondateur,7
innocent,7
hébergeur,7
pédiatre,7
contradicteur,7
costumier,7
concierge,7
émetteur,6
blogueur,6
mort,6
converti,6
sage,6
hacker,6
gérant,6
fondeur,6
tavernier,6
sympathisant,6
pirate,6
postulant,6
communicant,6
commercial,6
évaluateur,6
volailler,6
marseillais,6
référent,6
régulateur,6
sergent,6
druide,6
bénévole,6
psychanalyste,6
pâtissier,6
cosmonaute,5
byzantin,5
puritain,5
bâtisseur,5
dactylographe,5
archer,5
connaisseur,5
épargnant,5
résistant,5
revendeur,5
rival,5
gamin,5
frangin,5
chimiste,5
encadrant,5
réformateur,5
compétiteur,5
actif,5
admirateur,5
colonisateur,5
akkadien,5
escroc,5
nécessiteux,5
occidental,5
gendre,5
guitariste,5
tsar,5
victorien,5
péripatéticien,5
gynécologue,5
généalogiste,5
grammairien,5
séducteur,5
surfeur,5
associé,5
steward,5
cofondateur,5
homosexuel,5
prédécesseur,5
transformateur,4
extraterrestre,4
accoucheur,4
absent,4
administré,4
neveu,4
opprimé,4
facteur,4
malfaiteur,4
rockeur,4
recteur,4
riverain,4
martien,4
couturier,4
batteur,4
blanc,4
bûcheron,4
usurpateur,4
droitier,4
dresseur,4
golfeur,4
quaker,4
cambrioleur,4
démocrate,4
codirecteur,4
citadin,4
charmeur,4
dissident,4
diplomate,4
charlatan,4
imprimeur,4
illuminé,4
provocateur,4
généticien,4
défendeur,4
garant,4
végan,4
fumeur,4
milicien,4
matheux,4
jésuite,4
touriste,3
biologiste,3
concessionnaire,3
confident,3
critique,3
bienfaiteur,3
universitaire,3
écolier,3
botaniste,3
braconnier,3
neurochirurgien,3
métis,3
prédicateur,3
prédateur,3
indépendant,3
informateur,3
camarade,3
chaman,3
campeur,3
hôtelier,3
colistier,3
poissonnier,3
physiothérapeute,3
pianiste,3
libraire,3
linguiste,3
chansonnier,3
démonstrateur,3
greffier,3
babylonien,3
attaché,3
aïeul,3
tenant,3
suiveur,3
sultan,3
détracteur,3
matelot,3
figurant,3
iroquois,3
marqueur,3
exécuteur,3
scénariste,3
cireur,3
chocolatier,3
requérant,3
exterminateur,3
manipulateur,3
facilitateur,3
officiel,3
parfumeur,3
passeur,3
malentendant,3
cyclosportif,3
adjoint,3
agronome,3
ailier,3
comptable,2
papy,2
parlementaire,2
questionneur,2
viking,2
parrain,2
visionnaire,2
instigateur,2
bénéficiaire,2
paysagiste,2
lyonnais,2
découvreur,2
sprinteur,2
planificateur,2
statisticien,2
ancêtre,2
gourmand,2
mandataire,2
taïwanais,2
porte-parole,2
marathonien,2
prochain,2
marquis,2
martyr,2
coordonnateur,2
coprésident,2
poursuivant,2
coupable,2
courtisan,2
interprète,2
croisé,2
béotien,2
gnome,2
curateur,2
curieux,2
charcutier,2
communard,2
psychothérapeute,2
compère,2
assaillant,2
libertin,2
mortel,2
inculpé,2
indigent,2
assassin,2
médaillé,2
national,2
harceleur,2
bailleur,2
percussionniste,2
beau-fils,2
négociant,2
persécuteur,2
inscrit,2
orgueilleux,2
ornithologue,2
géniteur,2
habitué,2
handicapé,2
fou,2
fouineur,2
francophone,2
fromager,2
frondeur,2
gamer,2
garde,2
rapporteur,2
recordman,2
redistributeur,2
enchérisseur,2
endocrinologue,2
entomologiste,2
exploitant,2
exécutant,2
rôdeur,2
secrétaire,2
semeur,2
sommelier,2
chorégraphe,2
chômeur,2
cinéaste,2
classificateur,2
tireur,2
toulousain,2
zoroastrien,2
anglophone,2
antihéros,2
appelant,2
archiviste,2
arpenteur,2
arrivant,2
adoptant,2
adhérent,2
tragédien,2
télétravailleur,2
vicomte,2
vieux,2
épicier,2
brasseur,2
militaire,2
lesbien,1
libérateur,1
lillois,1
littérateur,1
loueur,1
luthérien,1
petit,1
philanthrope,1
pillard,1
pisteur,1
pollueur,1
possesseur,1
horticulteur,1
humoriste,1
hépatologue,1
importateur,1
improvisateur,1
inférieur,1
initié,1
inquisiteur,1
installateur,1
preneur,1
promoteur,1
protégé,1
préposé,1
puceau,1
pédophile,1
hindou,1
bédouin,1
cadet,1
cafetier,1
californien,1
capétien,1
caricaturiste,1
changeur,1
chantre,1
assuré,1
athée,1
autochtone,1
balayeur,1
barbier,1
barde,1
barista,1
baroudeur,1
pédopsychiatre,1
gondolier,1
goth,1
principal,1
graphiste,1
grimpeur,1
grincheux,1
griot,1
guichetier,1
guérisseur,1
géant,1
accompagnant,1
généraliste,1
géographe,1
géophysicien,1
habilleur,1
algonquin,1
allergologue,1
forain,1
forestier,1
virtuose,1
vérificateur,1
devin,1
fraudeur,1
domestique,1
dragueur,1
fugitif,1
spéculateur,1
syndic,1
garde-malade,1
gardeur,1
raisonneur,1
sémite,1
receleur,1
templier,1
tenancier,1
routier,1
russe,1
régent,1
régisseur,1
révolutionnaire,1
enchanteur,1
testard,1
contrebassiste,1
engagé,1
coordinateur,1
entrant,1
esclave,1
esthéticien,1
examinateur,1
exilé,1
couillon,1
exportateur,1
couvreur,1
fabuliste,1
faiseur,1
familier,1
fiancé,1
croupier,1
saisonnier,1
sauteur,1
saxophoniste,1
scoreur,1
scout,1
secouriste,1
cultivateur,1
comique,1
senior,1
servant,1
sexologue,1
skieur,1
sociologue,1
trésorier,1
sonneur,1
sourcier,1
soûlard,1
déplacé,1
déporté,1
charretier,1
cheminot,1
zurichois,1
moraliste,1
mosellan,1
clarinettiste,1
motard,1
clochard,1
dévot,1
embaumeur,1
concubin,1
consanguin,1
mécène,1
titreur,1
niçois,1
toxicologue,1
anarchiste,1
noble,1
non-fumeur,1
annonceur,1
officiant,1
antiquaire,1
apiculteur,1
opticien,1
applicant,1
parquetier,1
archéologue,1
aristocrate,1
arnaqueur,1
patineur,1
arrangeur,1
patricien,1
arrière-cousin,1
arrière-grand-père,1
équipier,1
affranchi,1
étalon,1
éthologue,1
mafieux,1
majeur,1
accusateur,1
montagnard,1
éclaireur,1
ascète,1
manufacturier,1
traitre,1
traqueur,1
triomphateur,1
truand,1
suppléant,1
marcheur,1
urbain,1
